[Line 77] PACKAGE         -> package
[Line 77] VARIABLE        -> main
[Line 79] VARIABLE        -> import
[Line 79] STRING          -> "fmt"
[Line 81] FUNC            -> func
[Line 81] VARIABLE        -> main
[Line 81] LPAREN          -> (
[Line 81] RPAREN          -> )
[Line 81] LBRACE          -> {
[Line 84] VAR             -> var
[Line 84] VARIABLE        -> edad
[Line 84] INT_TYPE        -> int
[Line 85] VAR             -> var
[Line 85] VARIABLE        -> promedio
[Line 85] FLOAT64_TYPE    -> float64
[Line 86] VAR             -> var
[Line 86] VARIABLE        -> nombre
[Line 86] STRING_TYPE     -> string
[Line 87] VAR             -> var
[Line 87] VARIABLE        -> activo
[Line 87] BOOL_TYPE       -> bool
[Line 90] VARIABLE        -> edad
[Line 90] ASSIGN          -> =
[Line 90] INTEGER         -> 21
[Line 93] VARIABLE        -> promedio
[Line 93] ASSIGN          -> =
[Line 93] FLOAT           -> 9.75
[Line 96] VARIABLE        -> nombre
[Line 96] ASSIGN          -> =
[Line 96] STRING          -> "Milena Pazmiño"
[Line 99] VARIABLE        -> activo
[Line 99] ASSIGN          -> =
[Line 99] TRUE            -> true
[Line 107] IF              -> if
[Line 107] VARIABLE        -> edad
[Line 107] GT              -> >
[Line 107] INTEGER         -> 18
[Line 107] LBRACE          -> {
[Line 108] VARIABLE        -> mensaje
[Line 108] DECLARE_ASSIGN  -> :=
[Line 108] STRING          -> "Mayor de edad"
[Line 109] RBRACE          -> }
[Line 115] VARIABLE        -> nombreUsuario
[Line 115] DECLARE_ASSIGN  -> :=
[Line 115] STRING          -> "Milena"
[Line 116] VARIABLE        -> edadUsuario
[Line 116] DECLARE_ASSIGN  -> :=
[Line 116] INTEGER         -> 21
[Line 117] VARIABLE        -> promedioUsuario
[Line 117] DECLARE_ASSIGN  -> :=
[Line 117] FLOAT           -> 9.8
[Line 118] VARIABLE        -> activoUsuario
[Line 118] DECLARE_ASSIGN  -> :=
[Line 118] TRUE            -> true
[Line 120] FMT             -> fmt
[Line 120] DOT             -> .
[Line 120] PRINTLN         -> Println
[Line 120] LPAREN          -> (
[Line 120] VARIABLE        -> nombreUsuario
[Line 120] RPAREN          -> )
[Line 121] FMT             -> fmt
[Line 121] DOT             -> .
[Line 121] PRINTLN         -> Println
[Line 121] LPAREN          -> (
[Line 121] VARIABLE        -> edadUsuario
[Line 121] RPAREN          -> )
[Line 122] FMT             -> fmt
[Line 122] DOT             -> .
[Line 122] PRINTLN         -> Println
[Line 122] LPAREN          -> (
[Line 122] VARIABLE        -> activoUsuario
[Line 122] RPAREN          -> )
[Line 124] VARIABLE        -> nombresVacio
[Line 124] DECLARE_ASSIGN  -> :=
[Line 124] LBRACKET        -> [
[Line 124] RBRACKET        -> ]
[Line 124] STRING_TYPE     -> string
[Line 124] LBRACE          -> {
[Line 124] RBRACE          -> }
[Line 126] FOR             -> for
[Line 126] VARIABLE        -> edadUsuario
[Line 126] GT              -> >
[Line 126] INTEGER         -> 18
[Line 126] LBRACE          -> {
[Line 127] VARIABLE        -> adulto
[Line 127] DECLARE_ASSIGN  -> :=
[Line 127] TRUE            -> true
[Line 128] RBRACE          -> }
[Line 130] VARIABLE        -> suma
[Line 130] DECLARE_ASSIGN  -> :=
[Line 130] INTEGER         -> 5
[Line 130] PLUS            -> +
[Line 130] INTEGER         -> 3
[Line 131] VARIABLE        -> resta
[Line 131] DECLARE_ASSIGN  -> :=
