[Line 1] PACKAGE         -> package
[Line 1] VARIABLE        -> main
[Line 3] VAR             -> var
[Line 3] VARIABLE        -> nombre
[Line 3] STRING_TYPE     -> string
[Line 5] FMT             -> fmt
[Line 5] DOT             -> .
[Line 5] SCAN            -> Scan
[Line 5] LPAREN          -> (
[Line 5] AMPERSAND       -> &
[Line 5] VARIABLE        -> nombre
[Line 5] RPAREN          -> )
[Line 7] VARIABLE        -> edades
[Line 7] DECLARE_ASSIGN  -> :=
[Line 7] MAP             -> map
[Line 7] LBRACKET        -> [
[Line 7] STRING_TYPE     -> string
[Line 7] RBRACKET        -> ]
[Line 7] INT_TYPE        -> int
[Line 7] LBRACE          -> {
[Line 7] RBRACE          -> }
[Line 9] SWITCH          -> switch
[Line 9] VARIABLE        -> nombre
[Line 9] LBRACE          -> {
[Line 11] CASE            -> case
[Line 11] STRING          -> "Gabriel"
[Line 11] COLON           -> :
[Line 12] FMT             -> fmt
[Line 12] DOT             -> .
[Line 12] PRINTLN         -> Println
[Line 12] LPAREN          -> (
[Line 12] VARIABLE        -> nombre
[Line 12] RPAREN          -> )
[Line 14] CASE            -> case
[Line 14] STRING          -> "Carlos"
[Line 14] COLON           -> :
[Line 15] FMT             -> fmt
[Line 15] DOT             -> .
[Line 15] PRINTLN         -> Println
[Line 15] LPAREN          -> (
[Line 15] VARIABLE        -> nombre
[Line 15] RPAREN          -> )
[Line 17] DEFAULT         -> default
[Line 17] COLON           -> :
[Line 18] FMT             -> fmt
[Line 18] DOT             -> .
[Line 18] PRINTLN         -> Println
[Line 18] LPAREN          -> (
[Line 18] VARIABLE        -> nombre
[Line 18] RPAREN          -> )
[Line 20] RBRACE          -> }
[Line 22] FUNC            -> func
[Line 22] VARIABLE        -> calcular
[Line 22] LPAREN          -> (
[Line 22] VARIABLE        -> a
[Line 22] INT_TYPE        -> int
[Line 22] COMMA           -> ,
[Line 22] VARIABLE        -> b
[Line 22] INT_TYPE        -> int
[Line 22] COMMA           -> ,
[Line 22] VARIABLE        -> c
[Line 22] INT_TYPE        -> int
[Line 22] RPAREN          -> )
[Line 22] INT_TYPE        -> int
[Line 22] LBRACE          -> {
[Line 24] RETURN          -> return
[Line 24] VARIABLE        -> a
[Line 26] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
