[Line 55] PACKAGE         -> package
[Line 55] VARIABLE        -> main
[Line 57] VARIABLE        -> import
[Line 57] STRING          -> "fmt"
[Line 59] FUNC            -> func
[Line 59] VARIABLE        -> calcularDemanda
[Line 59] LPAREN          -> (
[Line 59] RPAREN          -> )
[Line 59] INT_TYPE        -> int
[Line 59] LBRACE          -> {
[Line 60] CONST           -> const
[Line 60] VARIABLE        -> limite
[Line 60] ASSIGN          -> =
[Line 60] INTEGER         -> 10
[Line 62] VAR             -> var
[Line 62] VARIABLE        -> activo
[Line 62] ASSIGN          -> =
[Line 62] TRUE            -> true
[Line 63] VAR             -> var
[Line 63] VARIABLE        -> terminado
[Line 63] ASSIGN          -> =
[Line 63] FALSE           -> false
[Line 65] VAR             -> var
[Line 65] VARIABLE        -> demanda
[Line 65] ASSIGN          -> =
[Line 65] MAP             -> map
[Line 65] LBRACKET        -> [
[Line 65] STRING_TYPE     -> string
[Line 65] RBRACKET        -> ]
[Line 65] INT_TYPE        -> int
[Line 65] LBRACE          -> {
[Line 66] STRING          -> "FIEC"
[Line 66] COLON           -> :
[Line 66] INTEGER         -> 5
[Line 66] COMMA           -> ,
[Line 67] STRING          -> "Rectorado"
[Line 67] COLON           -> :
[Line 67] INTEGER         -> 8
[Line 67] COMMA           -> ,
[Line 68] STRING          -> "Tecnologias"
[Line 68] COLON           -> :
[Line 68] INTEGER         -> 3
[Line 68] COMMA           -> ,
[Line 69] RBRACE          -> }
[Line 71] VAR             -> var
[Line 71] VARIABLE        -> total
[Line 71] ASSIGN          -> =
[Line 71] INTEGER         -> 0
[Line 73] FOR             -> for
[Line 73] VARIABLE        -> parada
[Line 73] DECLARE_ASSIGN  -> :=
[Line 73] RANGE           -> range
[Line 73] VARIABLE        -> demanda
[Line 73] LBRACE          -> {
[Line 74] VARIABLE        -> total
[Line 74] ASSIGN          -> =
[Line 74] VARIABLE        -> total
[Line 74] PLUS            -> +
[Line 74] VARIABLE        -> demanda
[Line 74] LBRACKET        -> [
[Line 74] VARIABLE        -> parada
[Line 74] RBRACKET        -> ]
[Line 75] RBRACE          -> }
[Line 77] IF              -> if
[Line 77] VARIABLE        -> activo
[Line 77] EQ              -> ==
[Line 77] TRUE            -> true
[Line 77] LBRACE          -> {
[Line 78] VARIABLE        -> total
[Line 78] ASSIGN          -> =
[Line 78] VARIABLE        -> total
[Line 78] PLUS            -> +
[Line 78] INTEGER         -> 1
[Line 79] RBRACE          -> }
[Line 79] ELSE            -> else
[Line 79] LBRACE          -> {
[Line 80] VARIABLE        -> total
[Line 80] ASSIGN          -> =
[Line 80] VARIABLE        -> total
[Line 80] MINUS           -> -
[Line 80] INTEGER         -> 1
[Line 81] RBRACE          -> }
[Line 83] SWITCH          -> switch
[Line 83] VARIABLE        -> total
[Line 83] LBRACE          -> {
[Line 84] CASE            -> case
[Line 84] INTEGER         -> 0
[Line 84] COLON           -> :
[Line 85] VARIABLE        -> terminado
[Line 85] ASSIGN          -> =
[Line 85] TRUE            -> true
[Line 86] CASE            -> case
[Line 86] INTEGER         -> 10
[Line 86] COLON           -> :
[Line 87] VARIABLE        -> terminado
[Line 87] ASSIGN          -> =
[Line 87] FALSE           -> false
[Line 88] DEFAULT         -> default
[Line 88] COLON           -> :
[Line 89] VARIABLE        -> terminado
[Line 89] ASSIGN          -> =
[Line 89] FALSE           -> false
[Line 90] RBRACE          -> }
[Line 92] IF              -> if
[Line 92] VARIABLE        -> terminado
[Line 92] EQ              -> ==
[Line 92] FALSE           -> false
[Line 92] LBRACE          -> {
[Line 93] RETURN          -> return
[Line 93] VARIABLE        -> total
[Line 94] RBRACE          -> }
[Line 96] FMT             -> fmt
[Line 96] DOT             -> .
[Line 96] PRINT           -> Print
[Line 96] LPAREN          -> (
[Line 96] STRING          -> "Hola"
[Line 96] RPAREN          -> )
[Line 97] FMT             -> fmt
[Line 97] DOT             -> .
[Line 97] PRINTLN         -> Println
[Line 97] LPAREN          -> (
[Line 97] VARIABLE        -> variableinexistente
[Line 97] RPAREN          -> )
[Line 99] VAR             -> var
[Line 99] VARIABLE        -> edad
[Line 99] INT_TYPE        -> int
[Line 99] ASSIGN          -> =
[Line 99] INTEGER         -> 10
[Line 100] FMT             -> fmt
[Line 100] DOT             -> .
[Line 100] PRINTLN         -> Println
[Line 100] LPAREN          -> (
[Line 100] VARIABLE        -> edad
[Line 100] RPAREN          -> )
[Line 102] VAR             -> var
[Line 102] VARIABLE        -> a
[Line 102] INT_TYPE        -> int
[Line 102] ASSIGN          -> =
[Line 102] INTEGER         -> 10
[Line 103] VAR             -> var
[Line 103] VARIABLE        -> b
[Line 103] INT_TYPE        -> int
[Line 103] ASSIGN          -> =
[Line 103] INTEGER         -> 20
[Line 104] VAR             -> var
[Line 104] VARIABLE        -> c
[Line 104] INT_TYPE        -> int
[Line 104] ASSIGN          -> =
[Line 104] VARIABLE        -> a
[Line 104] PLUS            -> +
[Line 104] VARIABLE        -> b
[Line 106] VAR             -> var
[Line 106] VARIABLE        -> resultado
[Line 106] BOOL_TYPE       -> bool
[Line 106] ASSIGN          -> =
[Line 106] VARIABLE        -> activo
[Line 106] PLUS            -> +
[Line 106] FALSE           -> false
[Line 107] RETURN          -> return
[Line 107] INTEGER         -> 0
[Line 108] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 6: unexpected token 'const'
Syntax error at line 8: unexpected token '='
Syntax error at line 20: unexpected token '['
Syntax error at line 39: unexpected token 'return'
Syntax error at line 53: unexpected token 'return'
