[Line 59] PACKAGE         -> package
[Line 59] VARIABLE        -> main
[Line 61] VARIABLE        -> import
[Line 61] STRING          -> "fmt"
[Line 63] FUNC            -> func
[Line 63] VARIABLE        -> calcularDemanda
[Line 63] LPAREN          -> (
[Line 63] RPAREN          -> )
[Line 63] INT_TYPE        -> int
[Line 63] LBRACE          -> {
[Line 64] CONST           -> const
[Line 64] VARIABLE        -> limite
[Line 64] ASSIGN          -> =
[Line 64] INTEGER         -> 10
[Line 66] VAR             -> var
[Line 66] VARIABLE        -> activo
[Line 66] ASSIGN          -> =
[Line 66] TRUE            -> true
[Line 67] VAR             -> var
[Line 67] VARIABLE        -> terminado
[Line 67] ASSIGN          -> =
[Line 67] FALSE           -> false
[Line 69] VAR             -> var
[Line 69] VARIABLE        -> demanda
[Line 69] ASSIGN          -> =
[Line 69] MAP             -> map
[Line 69] LBRACKET        -> [
[Line 69] STRING_TYPE     -> string
[Line 69] RBRACKET        -> ]
[Line 69] INT_TYPE        -> int
[Line 69] LBRACE          -> {
[Line 70] STRING          -> "FIEC"
[Line 70] COLON           -> :
[Line 70] INTEGER         -> 5
[Line 70] COMMA           -> ,
[Line 71] STRING          -> "Rectorado"
[Line 71] COLON           -> :
[Line 71] INTEGER         -> 8
[Line 71] COMMA           -> ,
[Line 72] STRING          -> "Tecnologias"
[Line 72] COLON           -> :
[Line 72] INTEGER         -> 3
[Line 72] COMMA           -> ,
[Line 73] RBRACE          -> }
[Line 75] VAR             -> var
[Line 75] VARIABLE        -> total
[Line 75] ASSIGN          -> =
[Line 75] INTEGER         -> 0
[Line 77] FOR             -> for
[Line 77] VARIABLE        -> parada
[Line 77] DECLARE_ASSIGN  -> :=
[Line 77] RANGE           -> range
[Line 77] VARIABLE        -> demanda
[Line 77] LBRACE          -> {
[Line 78] VARIABLE        -> total
[Line 78] ASSIGN          -> =
[Line 78] VARIABLE        -> total
[Line 78] PLUS            -> +
[Line 78] VARIABLE        -> demanda
[Line 78] LBRACKET        -> [
[Line 78] VARIABLE        -> parada
[Line 78] RBRACKET        -> ]
[Line 79] RBRACE          -> }
[Line 81] IF              -> if
[Line 81] VARIABLE        -> activo
[Line 81] EQ              -> ==
[Line 81] TRUE            -> true
[Line 81] LBRACE          -> {
[Line 82] VARIABLE        -> total
[Line 82] ASSIGN          -> =
[Line 82] VARIABLE        -> total
[Line 82] PLUS            -> +
[Line 82] INTEGER         -> 1
[Line 83] RBRACE          -> }
[Line 83] ELSE            -> else
[Line 83] LBRACE          -> {
[Line 84] VARIABLE        -> total
[Line 84] ASSIGN          -> =
[Line 84] VARIABLE        -> total
[Line 84] MINUS           -> -
[Line 84] INTEGER         -> 1
[Line 85] RBRACE          -> }
[Line 87] SWITCH          -> switch
[Line 87] VARIABLE        -> total
[Line 87] LBRACE          -> {
[Line 88] CASE            -> case
[Line 88] INTEGER         -> 0
[Line 88] COLON           -> :
[Line 89] VARIABLE        -> terminado
[Line 89] ASSIGN          -> =
[Line 89] TRUE            -> true
[Line 90] CASE            -> case
[Line 90] INTEGER         -> 10
[Line 90] COLON           -> :
[Line 91] VARIABLE        -> terminado
[Line 91] ASSIGN          -> =
[Line 91] FALSE           -> false
[Line 92] DEFAULT         -> default
[Line 92] COLON           -> :
[Line 93] VARIABLE        -> terminado
[Line 93] ASSIGN          -> =
[Line 93] FALSE           -> false
[Line 94] RBRACE          -> }
[Line 96] IF              -> if
[Line 96] VARIABLE        -> terminado
[Line 96] EQ              -> ==
[Line 96] FALSE           -> false
[Line 96] LBRACE          -> {
[Line 97] RETURN          -> return
[Line 97] VARIABLE        -> total
[Line 98] RBRACE          -> }
[Line 100] FMT             -> fmt
[Line 100] DOT             -> .
[Line 100] PRINT           -> Print
[Line 100] LPAREN          -> (
[Line 100] STRING          -> "Hola"
[Line 100] RPAREN          -> )
[Line 101] FMT             -> fmt
[Line 101] DOT             -> .
[Line 101] PRINTLN         -> Println
[Line 101] LPAREN          -> (
[Line 101] VARIABLE        -> variableinexistente
[Line 101] RPAREN          -> )
[Line 103] VAR             -> var
[Line 103] VARIABLE        -> edad
[Line 103] INT_TYPE        -> int
[Line 103] ASSIGN          -> =
[Line 103] INTEGER         -> 10
[Line 104] FMT             -> fmt
[Line 104] DOT             -> .
[Line 104] PRINTLN         -> Println
[Line 104] LPAREN          -> (
[Line 104] VARIABLE        -> edad
[Line 104] RPAREN          -> )
[Line 106] VAR             -> var
[Line 106] VARIABLE        -> a
[Line 106] INT_TYPE        -> int
[Line 106] ASSIGN          -> =
[Line 106] INTEGER         -> 10
[Line 107] VAR             -> var
[Line 107] VARIABLE        -> b
[Line 107] INT_TYPE        -> int
[Line 107] ASSIGN          -> =
[Line 107] INTEGER         -> 20
[Line 108] VAR             -> var
[Line 108] VARIABLE        -> c
[Line 108] INT_TYPE        -> int
[Line 108] ASSIGN          -> =
[Line 108] VARIABLE        -> a
[Line 108] PLUS            -> +
[Line 108] VARIABLE        -> b
[Line 110] VAR             -> var
[Line 110] VARIABLE        -> activo
[Line 110] BOOL_TYPE       -> bool
[Line 110] ASSIGN          -> =
[Line 110] TRUE            -> true
[Line 111] VAR             -> var
[Line 111] VARIABLE        -> resultado
[Line 111] BOOL_TYPE       -> bool
[Line 111] ASSIGN          -> =
[Line 111] VARIABLE        -> activo
[Line 111] PLUS            -> +
[Line 111] FALSE           -> false
[Line 115] RETURN          -> return
[Line 115] INTEGER         -> 0
[Line 116] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 6: unexpected token 'const'
Syntax error at line 24: unexpected token '='
Syntax error at line 31: unexpected token '='
Syntax error at line 39: unexpected token 'return'
Syntax error at line 57: unexpected token 'return'
