[Line 44] PACKAGE         -> package
[Line 44] VARIABLE        -> main
[Line 46] FUNC            -> func
[Line 46] VARIABLE        -> calcularDemanda
[Line 46] LPAREN          -> (
[Line 46] RPAREN          -> )
[Line 46] INT_TYPE        -> int
[Line 46] LBRACE          -> {
[Line 47] CONST           -> const
[Line 47] VARIABLE        -> limite
[Line 47] ASSIGN          -> =
[Line 47] INTEGER         -> 10
[Line 49] VAR             -> var
[Line 49] VARIABLE        -> activo
[Line 49] ASSIGN          -> =
[Line 49] TRUE            -> true
[Line 50] VAR             -> var
[Line 50] VARIABLE        -> terminado
[Line 50] ASSIGN          -> =
[Line 50] FALSE           -> false
[Line 52] VAR             -> var
[Line 52] VARIABLE        -> demanda
[Line 52] ASSIGN          -> =
[Line 52] MAP             -> map
[Line 52] LBRACKET        -> [
[Line 52] STRING_TYPE     -> string
[Line 52] RBRACKET        -> ]
[Line 52] INT_TYPE        -> int
[Line 52] LBRACE          -> {
[Line 53] STRING          -> "FIEC"
[Line 53] COLON           -> :
[Line 53] INTEGER         -> 5
[Line 53] COMMA           -> ,
[Line 54] STRING          -> "Rectorado"
[Line 54] COLON           -> :
[Line 54] INTEGER         -> 8
[Line 54] COMMA           -> ,
[Line 55] STRING          -> "Tecnologias"
[Line 55] COLON           -> :
[Line 55] INTEGER         -> 3
[Line 55] COMMA           -> ,
[Line 56] RBRACE          -> }
[Line 58] VAR             -> var
[Line 58] VARIABLE        -> total
[Line 58] ASSIGN          -> =
[Line 58] INTEGER         -> 0
[Line 60] FOR             -> for
[Line 60] VARIABLE        -> parada
[Line 60] DECLARE_ASSIGN  -> :=
[Line 60] RANGE           -> range
[Line 60] VARIABLE        -> demanda
[Line 60] LBRACE          -> {
[Line 61] VARIABLE        -> total
[Line 61] ASSIGN          -> =
[Line 61] VARIABLE        -> total
[Line 61] PLUS            -> +
[Line 61] VARIABLE        -> demanda
[Line 61] LBRACKET        -> [
[Line 61] VARIABLE        -> parada
[Line 61] RBRACKET        -> ]
[Line 62] RBRACE          -> }
[Line 64] IF              -> if
[Line 64] VARIABLE        -> activo
[Line 64] EQ              -> ==
[Line 64] TRUE            -> true
[Line 64] LBRACE          -> {
[Line 65] VARIABLE        -> total
[Line 65] ASSIGN          -> =
[Line 65] VARIABLE        -> total
[Line 65] PLUS            -> +
[Line 65] INTEGER         -> 1
[Line 66] RBRACE          -> }
[Line 66] ELSE            -> else
[Line 66] LBRACE          -> {
[Line 67] VARIABLE        -> total
[Line 67] ASSIGN          -> =
[Line 67] VARIABLE        -> total
[Line 67] MINUS           -> -
[Line 67] INTEGER         -> 1
[Line 68] RBRACE          -> }
[Line 70] SWITCH          -> switch
[Line 70] VARIABLE        -> total
[Line 70] LBRACE          -> {
[Line 71] CASE            -> case
[Line 71] INTEGER         -> 0
[Line 71] COLON           -> :
[Line 72] VARIABLE        -> terminado
[Line 72] ASSIGN          -> =
[Line 72] TRUE            -> true
[Line 73] CASE            -> case
[Line 73] INTEGER         -> 10
[Line 73] COLON           -> :
[Line 74] VARIABLE        -> terminado
[Line 74] ASSIGN          -> =
[Line 74] FALSE           -> false
[Line 75] DEFAULT         -> default
[Line 75] COLON           -> :
[Line 76] VARIABLE        -> terminado
[Line 76] ASSIGN          -> =
[Line 76] FALSE           -> false
[Line 77] RBRACE          -> }
[Line 79] IF              -> if
[Line 79] VARIABLE        -> terminado
[Line 79] EQ              -> ==
[Line 79] FALSE           -> false
[Line 79] LBRACE          -> {
[Line 80] RETURN          -> return
[Line 80] VARIABLE        -> total
[Line 81] RBRACE          -> }
[Line 83] RETURN          -> return
[Line 83] INTEGER         -> 0
[Line 84] RBRACE          -> }
[Line 86] FMT             -> fmt
[Line 86] DOT             -> .
[Line 86] VARIABLE        -> Printlm
[Line 86] LPAREN          -> (
[Line 86] STRING          -> "Carla"
[Line 86] RPAREN          -> )
[Line 87] FMT             -> fmt
[Line 87] DOT             -> .
[Line 87] PRINT           -> Print
[Line 87] LPAREN          -> (
[Line 87] STRING          -> "Carla"
[Line 87] RPAREN          -> )

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 6: unexpected token '='
Syntax error at line 18: unexpected token '['
Syntax error at line 41: unexpected token '}'
