[Line 43] PACKAGE         -> package
[Line 43] VARIABLE        -> main
[Line 45] FUNC            -> func
[Line 45] VARIABLE        -> calcularDemanda
[Line 45] LPAREN          -> (
[Line 45] RPAREN          -> )
[Line 45] INT_TYPE        -> int
[Line 45] LBRACE          -> {
[Line 46] CONST           -> const
[Line 46] VARIABLE        -> limite
[Line 46] ASSIGN          -> =
[Line 46] INTEGER         -> 10
[Line 48] VAR             -> var
[Line 48] VARIABLE        -> activo
[Line 48] ASSIGN          -> =
[Line 48] TRUE            -> true
[Line 49] VAR             -> var
[Line 49] VARIABLE        -> terminado
[Line 49] ASSIGN          -> =
[Line 49] FALSE           -> false
[Line 51] VAR             -> var
[Line 51] VARIABLE        -> demanda
[Line 51] ASSIGN          -> =
[Line 51] MAP             -> map
[Line 51] LBRACKET        -> [
[Line 51] STRING_TYPE     -> string
[Line 51] RBRACKET        -> ]
[Line 51] INT_TYPE        -> int
[Line 51] LBRACE          -> {
[Line 52] STRING          -> "FIEC"
[Line 52] COLON           -> :
[Line 52] INTEGER         -> 5
[Line 52] COMMA           -> ,
[Line 53] STRING          -> "Rectorado"
[Line 53] COLON           -> :
[Line 53] INTEGER         -> 8
[Line 53] COMMA           -> ,
[Line 54] STRING          -> "Tecnologias"
[Line 54] COLON           -> :
[Line 54] INTEGER         -> 3
[Line 54] COMMA           -> ,
[Line 55] RBRACE          -> }
[Line 57] VAR             -> var
[Line 57] VARIABLE        -> total
[Line 57] ASSIGN          -> =
[Line 57] INTEGER         -> 0
[Line 59] FOR             -> for
[Line 59] VARIABLE        -> parada
[Line 59] DECLARE_ASSIGN  -> :=
[Line 59] RANGE           -> range
[Line 59] VARIABLE        -> demanda
[Line 59] LBRACE          -> {
[Line 60] VARIABLE        -> total
[Line 60] ASSIGN          -> =
[Line 60] VARIABLE        -> total
[Line 60] PLUS            -> +
[Line 60] VARIABLE        -> demanda
[Line 60] LBRACKET        -> [
[Line 60] VARIABLE        -> parada
[Line 60] RBRACKET        -> ]
[Line 61] RBRACE          -> }
[Line 63] IF              -> if
[Line 63] VARIABLE        -> activo
[Line 63] EQ              -> ==
[Line 63] TRUE            -> true
[Line 63] LBRACE          -> {
[Line 64] VARIABLE        -> total
[Line 64] ASSIGN          -> =
[Line 64] VARIABLE        -> total
[Line 64] PLUS            -> +
[Line 64] INTEGER         -> 1
[Line 65] RBRACE          -> }
[Line 65] ELSE            -> else
[Line 65] LBRACE          -> {
[Line 66] VARIABLE        -> total
[Line 66] ASSIGN          -> =
[Line 66] VARIABLE        -> total
[Line 66] MINUS           -> -
[Line 66] INTEGER         -> 1
[Line 67] RBRACE          -> }
[Line 69] SWITCH          -> switch
[Line 69] VARIABLE        -> total
[Line 69] LBRACE          -> {
[Line 70] CASE            -> case
[Line 70] INTEGER         -> 0
[Line 70] COLON           -> :
[Line 71] VARIABLE        -> terminado
[Line 71] ASSIGN          -> =
[Line 71] TRUE            -> true
[Line 72] CASE            -> case
[Line 72] INTEGER         -> 10
[Line 72] COLON           -> :
[Line 73] VARIABLE        -> terminado
[Line 73] ASSIGN          -> =
[Line 73] FALSE           -> false
[Line 74] DEFAULT         -> default
[Line 74] COLON           -> :
[Line 75] VARIABLE        -> terminado
[Line 75] ASSIGN          -> =
[Line 75] FALSE           -> false
[Line 76] RBRACE          -> }
[Line 78] IF              -> if
[Line 78] VARIABLE        -> terminado
[Line 78] EQ              -> ==
[Line 78] FALSE           -> false
[Line 78] LBRACE          -> {
[Line 79] RETURN          -> return
[Line 79] VARIABLE        -> total
[Line 80] RBRACE          -> }
[Line 82] FMT             -> fmt
[Line 82] DOT             -> .
[Line 82] VARIABLE        -> Printlm
[Line 82] LPAREN          -> (
[Line 82] VARIABLE        -> Carla
[Line 82] RPAREN          -> )
[Line 83] FMT             -> fmt
[Line 83] DOT             -> .
[Line 83] PRINT           -> Print
[Line 83] LPAREN          -> (
[Line 83] VARIABLE        -> Carla
[Line 83] RPAREN          -> )
[Line 84] RETURN          -> return
[Line 84] INTEGER         -> 0
[Line 85] RBRACE          -> }

===== LEXICAL ERRORS =====
[Line 40] ERROR           -> '
[Line 40] ERROR           -> '
[Line 41] ERROR           -> '
[Line 41] ERROR           -> '
[Line 82] ERROR           -> '
[Line 82] ERROR           -> '
[Line 83] ERROR           -> '
[Line 83] ERROR           -> '

===== LEXICAL ERRORS =====
[Line 40] ERROR           -> '
[Line 40] ERROR           -> '
[Line 41] ERROR           -> '
[Line 41] ERROR           -> '
[Line 82] ERROR           -> '
[Line 82] ERROR           -> '
[Line 83] ERROR           -> '
[Line 83] ERROR           -> '

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 22: unexpected token '='
Syntax error at line 29: unexpected token '='
Syntax error at line 40: unexpected token 'Printlm'
Syntax error at line 43: unexpected token '}'
