[Line 80] PACKAGE         -> package
[Line 80] VARIABLE        -> main
[Line 82] VARIABLE        -> import
[Line 82] STRING          -> "fmt"
[Line 87] VAR             -> var
[Line 87] VARIABLE        -> edad
[Line 87] INT_TYPE        -> int
[Line 88] VAR             -> var
[Line 88] VARIABLE        -> promedio
[Line 88] FLOAT64_TYPE    -> float64
[Line 89] VAR             -> var
[Line 89] VARIABLE        -> nombre
[Line 89] STRING_TYPE     -> string
[Line 90] VAR             -> var
[Line 90] VARIABLE        -> activo
[Line 90] BOOL_TYPE       -> bool
[Line 93] VARIABLE        -> edad
[Line 93] DECLARE_ASSIGN  -> :=
[Line 93] INTEGER         -> 21
[Line 96] VARIABLE        -> promedio
[Line 96] DECLARE_ASSIGN  -> :=
[Line 96] FLOAT           -> 9.75
[Line 99] VARIABLE        -> nombre
[Line 99] DECLARE_ASSIGN  -> :=
[Line 99] STRING          -> "Milena Pazmiño"
[Line 102] VARIABLE        -> activo
[Line 102] DECLARE_ASSIGN  -> :=
[Line 102] TRUE            -> true
[Line 110] IF              -> if
[Line 110] VARIABLE        -> edad
[Line 110] GT              -> >
[Line 110] INTEGER         -> 18
[Line 110] LBRACE          -> {
[Line 111] VARIABLE        -> mensaje
[Line 111] DECLARE_ASSIGN  -> :=
[Line 111] STRING          -> "Mayor de edad"
[Line 113] RBRACE          -> }
[Line 113] ELSE            -> else
[Line 113] LBRACE          -> {
[Line 114] VARIABLE        -> mensaje
[Line 114] DECLARE_ASSIGN  -> :=
[Line 114] STRING          -> "Menor de edad"
[Line 115] RBRACE          -> }
[Line 121] VARIABLE        -> nombreUsuario
[Line 121] DECLARE_ASSIGN  -> :=
[Line 121] STRING          -> "Milena"
[Line 122] VARIABLE        -> edadUsuario
[Line 122] DECLARE_ASSIGN  -> :=
[Line 122] INTEGER         -> 21
[Line 123] VARIABLE        -> promedioUsuario
[Line 123] DECLARE_ASSIGN  -> :=
[Line 123] FLOAT           -> 9.8
[Line 124] VARIABLE        -> activoUsuario
[Line 124] DECLARE_ASSIGN  -> :=
[Line 124] TRUE            -> true
[Line 126] FMT             -> fmt
[Line 126] DOT             -> .
[Line 126] PRINTLN         -> Println
[Line 126] LPAREN          -> (
[Line 126] VARIABLE        -> nombreUsuario
[Line 126] RPAREN          -> )
[Line 127] FMT             -> fmt
[Line 127] DOT             -> .
[Line 127] PRINTLN         -> Println
[Line 127] LPAREN          -> (
[Line 127] VARIABLE        -> edadUsuario
[Line 127] RPAREN          -> )
[Line 128] FMT             -> fmt
[Line 128] DOT             -> .
[Line 128] PRINTLN         -> Println
[Line 128] LPAREN          -> (
[Line 128] VARIABLE        -> activoUsuario
[Line 128] RPAREN          -> )
[Line 130] VARIABLE        -> nombresVacio
[Line 130] DECLARE_ASSIGN  -> :=
[Line 130] LBRACKET        -> [
[Line 130] RBRACKET        -> ]
[Line 130] STRING_TYPE     -> string
[Line 130] LBRACE          -> {
[Line 130] RBRACE          -> }
[Line 132] FOR             -> for
[Line 132] VARIABLE        -> edadUsuario
[Line 132] GT              -> >
[Line 132] INTEGER         -> 18
[Line 132] LBRACE          -> {
[Line 133] VARIABLE        -> adulto
[Line 133] DECLARE_ASSIGN  -> :=
[Line 133] TRUE            -> true
[Line 134] RBRACE          -> }
[Line 136] VARIABLE        -> suma
[Line 136] DECLARE_ASSIGN  -> :=
[Line 136] INTEGER         -> 5
[Line 136] PLUS            -> +
[Line 136] INTEGER         -> 3
[Line 137] VARIABLE        -> resta
[Line 137] DECLARE_ASSIGN  -> :=
[Line 137] INTEGER         -> 10
[Line 137] MINUS           -> -
[Line 137] INTEGER         -> 2
[Line 138] VARIABLE        -> multiplicacion
[Line 138] DECLARE_ASSIGN  -> :=
[Line 138] INTEGER         -> 4
[Line 138] TIMES           -> *
[Line 138] INTEGER         -> 6
[Line 139] VARIABLE        -> division
[Line 139] DECLARE_ASSIGN  -> :=
[Line 139] INTEGER         -> 20
[Line 139] DIVIDE          -> /
[Line 139] INTEGER         -> 5
[Line 140] VARIABLE        -> operacionCompleta
[Line 140] DECLARE_ASSIGN  -> :=
[Line 140] LPAREN          -> (
[Line 140] INTEGER         -> 5
[Line 140] PLUS            -> +
[Line 140] INTEGER         -> 3
[Line 140] RPAREN          -> )
[Line 140] TIMES           -> *
[Line 140] INTEGER         -> 2
[Line 144] FUNC            -> func
[Line 144] VARIABLE        -> obtenerEdad
[Line 144] LPAREN          -> (
[Line 144] RPAREN          -> )
[Line 144] INT_TYPE        -> int
[Line 144] LBRACE          -> {
[Line 145] RETURN          -> return
[Line 145] INTEGER         -> 21
[Line 146] RBRACE          -> }
[Line 148] FUNC            -> func
[Line 148] VARIABLE        -> obtenerPromedio
[Line 148] LPAREN          -> (
[Line 148] RPAREN          -> )
[Line 148] FLOAT64_TYPE    -> float64
[Line 148] LBRACE          -> {
[Line 149] RETURN          -> return
[Line 149] FLOAT           -> 9.75
[Line 150] RBRACE          -> }
[Line 152] FUNC            -> func
[Line 152] VARIABLE        -> obtenerNombre
[Line 152] LPAREN          -> (
[Line 152] RPAREN          -> )
[Line 152] STRING_TYPE     -> string
[Line 152] LBRACE          -> {
[Line 153] RETURN          -> return
[Line 153] STRING          -> "Milena"
[Line 154] RBRACE          -> }
[Line 156] FUNC            -> func
[Line 156] VARIABLE        -> estaActivo
[Line 156] LPAREN          -> (
[Line 156] RPAREN          -> )
[Line 156] BOOL_TYPE       -> bool
[Line 156] LBRACE          -> {
[Line 157] RETURN          -> return
[Line 157] TRUE            -> true
[Line 158] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
