[Line 47] PACKAGE         -> package
[Line 47] VARIABLE        -> main
[Line 49] VARIABLE        -> import
[Line 49] STRING          -> "fmt"
[Line 51] FUNC            -> func
[Line 51] VARIABLE        -> calcularDemanda
[Line 51] LPAREN          -> (
[Line 51] RPAREN          -> )
[Line 51] INT_TYPE        -> int
[Line 51] LBRACE          -> {
[Line 52] CONST           -> const
[Line 52] VARIABLE        -> limite
[Line 52] ASSIGN          -> =
[Line 52] INTEGER         -> 10
[Line 54] VAR             -> var
[Line 54] VARIABLE        -> activo
[Line 54] ASSIGN          -> =
[Line 54] TRUE            -> true
[Line 55] VAR             -> var
[Line 55] VARIABLE        -> terminado
[Line 55] ASSIGN          -> =
[Line 55] FALSE           -> false
[Line 57] VAR             -> var
[Line 57] VARIABLE        -> demanda
[Line 57] ASSIGN          -> =
[Line 57] MAP             -> map
[Line 57] LBRACKET        -> [
[Line 57] STRING_TYPE     -> string
[Line 57] RBRACKET        -> ]
[Line 57] INT_TYPE        -> int
[Line 57] LBRACE          -> {
[Line 58] STRING          -> "FIEC"
[Line 58] COLON           -> :
[Line 58] INTEGER         -> 5
[Line 58] COMMA           -> ,
[Line 59] STRING          -> "Rectorado"
[Line 59] COLON           -> :
[Line 59] INTEGER         -> 8
[Line 59] COMMA           -> ,
[Line 60] STRING          -> "Tecnologias"
[Line 60] COLON           -> :
[Line 60] INTEGER         -> 3
[Line 60] COMMA           -> ,
[Line 61] RBRACE          -> }
[Line 63] VAR             -> var
[Line 63] VARIABLE        -> total
[Line 63] ASSIGN          -> =
[Line 63] INTEGER         -> 0
[Line 65] FOR             -> for
[Line 65] VARIABLE        -> parada
[Line 65] DECLARE_ASSIGN  -> :=
[Line 65] RANGE           -> range
[Line 65] VARIABLE        -> demanda
[Line 65] LBRACE          -> {
[Line 66] VARIABLE        -> total
[Line 66] ASSIGN          -> =
[Line 66] VARIABLE        -> total
[Line 66] PLUS            -> +
[Line 66] VARIABLE        -> demanda
[Line 66] LBRACKET        -> [
[Line 66] VARIABLE        -> parada
[Line 66] RBRACKET        -> ]
[Line 67] RBRACE          -> }
[Line 69] IF              -> if
[Line 69] VARIABLE        -> activo
[Line 69] EQ              -> ==
[Line 69] TRUE            -> true
[Line 69] LBRACE          -> {
[Line 70] VARIABLE        -> total
[Line 70] ASSIGN          -> =
[Line 70] VARIABLE        -> total
[Line 70] PLUS            -> +
[Line 70] INTEGER         -> 1
[Line 71] RBRACE          -> }
[Line 71] ELSE            -> else
[Line 71] LBRACE          -> {
[Line 72] VARIABLE        -> total
[Line 72] ASSIGN          -> =
[Line 72] VARIABLE        -> total
[Line 72] MINUS           -> -
[Line 72] INTEGER         -> 1
[Line 73] RBRACE          -> }
[Line 75] SWITCH          -> switch
[Line 75] VARIABLE        -> total
[Line 75] LBRACE          -> {
[Line 76] CASE            -> case
[Line 76] INTEGER         -> 0
[Line 76] COLON           -> :
[Line 77] VARIABLE        -> terminado
[Line 77] ASSIGN          -> =
[Line 77] TRUE            -> true
[Line 78] CASE            -> case
[Line 78] INTEGER         -> 10
[Line 78] COLON           -> :
[Line 79] VARIABLE        -> terminado
[Line 79] ASSIGN          -> =
[Line 79] FALSE           -> false
[Line 80] DEFAULT         -> default
[Line 80] COLON           -> :
[Line 81] VARIABLE        -> terminado
[Line 81] ASSIGN          -> =
[Line 81] FALSE           -> false
[Line 82] RBRACE          -> }
[Line 84] IF              -> if
[Line 84] VARIABLE        -> terminado
[Line 84] EQ              -> ==
[Line 84] FALSE           -> false
[Line 84] LBRACE          -> {
[Line 85] RETURN          -> return
[Line 85] VARIABLE        -> total
[Line 86] RBRACE          -> }
[Line 88] FMT             -> fmt
[Line 88] DOT             -> .
[Line 88] PRINT           -> Print
[Line 88] LPAREN          -> (
[Line 88] STRING          -> "Hola"
[Line 88] RPAREN          -> )
[Line 89] FMT             -> fmt
[Line 89] DOT             -> .
[Line 89] PRINTLN         -> Println
[Line 89] LPAREN          -> (
[Line 89] STRING          -> "Hola"
[Line 89] RPAREN          -> )
[Line 91] RETURN          -> return
[Line 91] INTEGER         -> 0
[Line 92] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 6: unexpected token 'const'
Syntax error at line 24: unexpected token '='
Syntax error at line 31: unexpected token '='
Syntax error at line 42: unexpected token 'fmt'
Syntax error at line 46: unexpected token '}'
