[Line 45] PACKAGE         -> package
[Line 45] VARIABLE        -> main
[Line 47] FUNC            -> func
[Line 47] VARIABLE        -> calcularDemanda
[Line 47] LPAREN          -> (
[Line 47] RPAREN          -> )
[Line 47] INT_TYPE        -> int
[Line 47] LBRACE          -> {
[Line 48] CONST           -> const
[Line 48] VARIABLE        -> limite
[Line 48] ASSIGN          -> =
[Line 48] INTEGER         -> 10
[Line 50] VAR             -> var
[Line 50] VARIABLE        -> activo
[Line 50] ASSIGN          -> =
[Line 50] TRUE            -> true
[Line 51] VAR             -> var
[Line 51] VARIABLE        -> terminado
[Line 51] ASSIGN          -> =
[Line 51] FALSE           -> false
[Line 53] VAR             -> var
[Line 53] VARIABLE        -> demanda
[Line 53] ASSIGN          -> =
[Line 53] MAP             -> map
[Line 53] LBRACKET        -> [
[Line 53] STRING_TYPE     -> string
[Line 53] RBRACKET        -> ]
[Line 53] INT_TYPE        -> int
[Line 53] LBRACE          -> {
[Line 54] STRING          -> "FIEC"
[Line 54] COLON           -> :
[Line 54] INTEGER         -> 5
[Line 54] COMMA           -> ,
[Line 55] STRING          -> "Rectorado"
[Line 55] COLON           -> :
[Line 55] INTEGER         -> 8
[Line 55] COMMA           -> ,
[Line 56] STRING          -> "Tecnologias"
[Line 56] COLON           -> :
[Line 56] INTEGER         -> 3
[Line 56] COMMA           -> ,
[Line 57] RBRACE          -> }
[Line 59] VAR             -> var
[Line 59] VARIABLE        -> total
[Line 59] ASSIGN          -> =
[Line 59] INTEGER         -> 0
[Line 61] FOR             -> for
[Line 61] VARIABLE        -> parada
[Line 61] DECLARE_ASSIGN  -> :=
[Line 61] RANGE           -> range
[Line 61] VARIABLE        -> demanda
[Line 61] LBRACE          -> {
[Line 62] VARIABLE        -> total
[Line 62] ASSIGN          -> =
[Line 62] VARIABLE        -> total
[Line 62] PLUS            -> +
[Line 62] VARIABLE        -> demanda
[Line 62] LBRACKET        -> [
[Line 62] VARIABLE        -> parada
[Line 62] RBRACKET        -> ]
[Line 63] RBRACE          -> }
[Line 65] IF              -> if
[Line 65] VARIABLE        -> activo
[Line 65] EQ              -> ==
[Line 65] TRUE            -> true
[Line 65] LBRACE          -> {
[Line 66] VARIABLE        -> total
[Line 66] ASSIGN          -> =
[Line 66] VARIABLE        -> total
[Line 66] PLUS            -> +
[Line 66] INTEGER         -> 1
[Line 67] RBRACE          -> }
[Line 67] ELSE            -> else
[Line 67] LBRACE          -> {
[Line 68] VARIABLE        -> total
[Line 68] ASSIGN          -> =
[Line 68] VARIABLE        -> total
[Line 68] MINUS           -> -
[Line 68] INTEGER         -> 1
[Line 69] RBRACE          -> }
[Line 71] SWITCH          -> switch
[Line 71] VARIABLE        -> total
[Line 71] LBRACE          -> {
[Line 72] CASE            -> case
[Line 72] INTEGER         -> 0
[Line 72] COLON           -> :
[Line 73] VARIABLE        -> terminado
[Line 73] ASSIGN          -> =
[Line 73] TRUE            -> true
[Line 74] CASE            -> case
[Line 74] INTEGER         -> 10
[Line 74] COLON           -> :
[Line 75] VARIABLE        -> terminado
[Line 75] ASSIGN          -> =
[Line 75] FALSE           -> false
[Line 76] DEFAULT         -> default
[Line 76] COLON           -> :
[Line 77] VARIABLE        -> terminado
[Line 77] ASSIGN          -> =
[Line 77] FALSE           -> false
[Line 78] RBRACE          -> }
[Line 80] IF              -> if
[Line 80] VARIABLE        -> terminado
[Line 80] EQ              -> ==
[Line 80] FALSE           -> false
[Line 80] LBRACE          -> {
[Line 81] RETURN          -> return
[Line 81] VARIABLE        -> total
[Line 82] RBRACE          -> }
[Line 84] RETURN          -> return
[Line 84] INTEGER         -> 0
[Line 85] RBRACE          -> }
[Line 87] FMT             -> fmt
[Line 87] DOT             -> .
[Line 87] VARIABLE        -> Printlm
[Line 87] LPAREN          -> (
[Line 87] VARIABLE        -> Carla
[Line 87] RPAREN          -> )
[Line 89] FMT             -> fmt
[Line 89] DOT             -> .
[Line 89] PRINT           -> Print
[Line 89] LPAREN          -> (
[Line 89] VARIABLE        -> Carla
[Line 89] RPAREN          -> )

===== LEXICAL ERRORS =====
[Line 43] ERROR           -> '
[Line 43] ERROR           -> '
[Line 45] ERROR           -> '
[Line 45] ERROR           -> '
[Line 87] ERROR           -> '
[Line 87] ERROR           -> '
[Line 89] ERROR           -> '
[Line 89] ERROR           -> '

===== LEXICAL ERRORS =====
[Line 43] ERROR           -> '
[Line 43] ERROR           -> '
[Line 45] ERROR           -> '
[Line 45] ERROR           -> '
[Line 87] ERROR           -> '
[Line 87] ERROR           -> '
[Line 89] ERROR           -> '
[Line 89] ERROR           -> '

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 22: unexpected token '='
Syntax error at line 29: unexpected token '='
Syntax error at line 41: unexpected token '}'
